textID,text,selected_text,mood,Sentiment_score_VADER,Sentiment_VADER_label
55,55,i feel a little nervous i go to the gym,fear,feel little nervous go gym,-0.204
56,56,i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,feel like could go situation become successful competing life explained schaub interview href http bleacherreport,0.743
57,57,i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness,stop anxiety feel alone got distraction,-0.7579
58,58,im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,im trying feel house style im living creative carte blanche,0.4404
59,59,i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,tried see would like liked one girl friend never really worked ever feel emotional connection friend,0.9062
60,60,i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness,every intention gardening morning still cool feeling rotten,-0.128
61,61,i have a good feeling about this so i am excited,joy,good feeling excited,0.7003
62,62,i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,sadness,feel like starting understand blessing come submissive father,0.5267
63,63,i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger,think thing ive said stuff done make feel disgusted making happy smile far,0.4215
64,64,i woke up yesterday monday morning feeling a little depressed,sadness,woke yesterday monday morning feeling little depressed,-0.3626
65,65,i feel so embarrassed,sadness,feel embarrassed,-0.3612
66,66,i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,joy,spent wandering around still kinda dazed feeling particularly sociable id hiding couple day getting little unhealthy made go cross hang folk,-0.3742
67,67,i can honestly say that after each sistahs chat i feel invigorated and blessed,joy,honestly say sistahs chat feel invigorated blessed,0.8271
68,68,i still feel stupid to be in that class this is all cause off pbss fault,sadness,still feel stupid class cause pbs fault,-0.7269
69,69,i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,surprise,feel little stunned imagine folk working studio morning feeling,0.101
70,70,i admit im feeling a little bit unloved at this point,sadness,admit im feeling little bit unloved point,-0.0828
71,71,i feel a bit stressed even though all the things i have going on are fun,anger,feel bit stressed even though thing going fun,0.2263
72,72,im feeling pretty anxious,fear,im feeling pretty anxious,0.4019
73,73,i feel shocked and sad at the fact that there are so many sick people,surprise,feel shocked sad fact many sick people,-0.8271
74,74,i think they have always been proponents of the idea and it is just slightly possible that his feelings for a particularly charming new england girl have brought him around to their way of thinking,joy,think always proponent idea slightly possible feeling particularly charming new england girl brought around way thinking,0.6502
75,75,i feel like a naughty school girl because i am falling behind,love,feel like naughty school girl falling behind,0.2263
76,76,i am right handed however i play billiards left handed naturally so me trying to play right handed feels weird,surprise,right handed however play billiards left handed naturally trying play right handed feel weird,0.4767
77,77,i can feel that they are kind friendly and can understand my feelings,joy,feel kind friendly understand feeling,0.7964
78,78,i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,love,go overseas cross border become foreigner feel way never beloved land,-0.4023
79,79,i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems,anger,feel disgusted man power talk electricity problem area say even house similar problem,-0.8316
80,80,i feel transcendant and splendid,joy,feel transcendant splendid,0.5859
81,81,i finally arrived home a couple of hours later feeling somewhat exhausted dehydrated and even sun burnt,sadness,finally arrived home couple hour later feeling somewhat exhausted dehydrated even sun burnt,-0.1796
82,82,i am feeling totally relaxed and comfy,joy,feeling totally relaxed comfy,0.6115
83,83,i want each of you to feel my gentle embrace,love,want feel gentle embrace,0.6705
84,84,i feel privileged in my world,joy,feel privileged world,0.4404
85,85,i am not a people person but for some fuckin reason people feel that they can come bore me with their fuckin petty garbage,anger,people person fuckin reason people feel come bore fuckin petty garbage,-0.4215
86,86,i realized my mistake and i m really feeling terrible and thinking that i shouldn t do that,sadness,realized mistake really feeling terrible thinking,-0.6105
87,87,i suppose i feel too trusting sometimes,joy,suppose feel trusting sometimes,0.4019
88,88,i came home waiting for the shower read something which made me upset thats why i feel discontent haha,sadness,came home waiting shower read something made upset thats feel discontent haha,0.1027
89,89,i woke up feeling crappy tired and fighting this feeling all day maybe it is all the pollen the barometric pressure i dont know i know i was off kilter,sadness,woke feeling crappy tired fighting feeling day maybe pollen barometric pressure dont know know kilter,-0.8481
90,90,i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,joy,feel like paradise kissing sweet lip make feel like dive magical world love,0.9643
91,91,i am feeling so happy,joy,feeling happy,0.6369
92,92,i am running at an approximate minute pace which i feel is quite acceptable,joy,running approximate minute pace feel quite acceptable,0.3804
93,93,i feel so disappointed when my ex girlfriend doesn t call me back,sadness,feel disappointed ex girlfriend call back,-0.4767
94,94,i have a feeling that people are using it more than they need to and enjoying the feeling as it flies carefree off the tongue but that is alright with me,joy,feeling people using need enjoying feeling fly carefree tongue alright,0.8442
95,95,i am feeling uncertain of the merits of posting to this blog with the frequency or earnestness i had been over the previous year,fear,feeling uncertain merit posting blog frequency earnestness previous year,0.2732
96,96,i just plain feel envious of the self confidence they had,anger,plain feel envious self confidence,0.296
97,97,i was feeling weird the other day and it went away about minutes after i took my metformin,fear,feeling weird day went away minute took metformin,-0.0516
98,98,when a friend dropped a frog down my neck,anger,friend dropped frog neck,0.4939
99,99,im feeling angry at someone i do something thoughtful for her and my feelings toward her soften,anger,im feeling angry someone something thoughtful feeling toward soften,0.0772
100,100,i love neglecting this blog but sometimes i feel for my faithful readers,love,love neglecting blog sometimes feel faithful reader,0.6597
101,101,i lay in bed feeling as though i were awaiting an unwelcome visitor nevertheless i told myself i was strong and thought of good things until i felt better,sadness,lay bed feeling though awaiting unwelcome visitor nevertheless told strong thought good thing felt better,0.7845
102,102,i feel my heart is tortured by what i have done,anger,feel heart tortured done,-0.5574
103,103,i was still feeling weepy and strung out so maggie treated me to ice cream and a movie a href http www,sadness,still feeling weepy strung maggie treated ice cream movie href http www,-0.2023
104,104,i feel needy but comfortable with it i feel vulnerable but secure i feel the urge to cum hard but i get no relief,sadness,feel needy comfortable feel vulnerable secure feel urge cum hard get relief,0.6249
105,105,i journaled about my tendency to sometimes overcommit myself which can make me feel exhausted and overwhelmed,sadness,journaled tendency sometimes overcommit make feel exhausted overwhelmed,-0.3182
106,106,i started out feeling discouraged this morning,sadness,started feeling discouraged morning,-0.296
107,107,i feel agitated with myself that i did not foresee her frustrations earlier leading to the ending of our relationship,fear,feel agitated foresee frustration earlier leading ending relationship,-0.7269
108,108,i grab it from the air its smooth frame feels cold to the touch,anger,grab air smooth frame feel cold touch,0
109,109,i was angry at my boyfriend who had promised to come to see me but did not because he spent the evening with his pals,anger,angry boyfriend promised come see spent evening pal,-0.2023
110,110,i hate that i m sitting here at the hostel writing this and feeling so perfectly fine and than i get home and it s me and my problems and a wall,joy,hate sitting hostel writing feeling perfectly fine get home problem wall,0.0258
111,111,i do exercise i feel energetic and i am able to perform my other tasks in a very good manner,joy,exercise feel energetic able perform task good manner,0.7003
112,112,i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear,looked mabel morning named left breast mabel right one hazel feel weird mixture anger loss valerie wrote le month diagnosis,-0.7717
113,113,im feeling pretty disheartened by the whole thing,sadness,im feeling pretty disheartened whole thing,0.128
114,114,i feel that an input from me will be valued as being less potent than say that of irfan pathan,joy,feel input valued le potent say irfan pathan,0.4404
115,115,i feel is he generous,love,feel generous,0.5106
116,116,i even feel a little shaky,fear,even feel little shaky,-0.1548
117,117,i am feeling better though i dont sound it,joy,feeling better though dont sound,0.5267
118,118,i always feel troubled when we re on the road touring living in a van or more recently in the circus buses no place to hang my hat as the song lyric has it,sadness,always feel troubled road touring living van recently circus bus place hang hat song lyric,-0.4588
119,119,i feel our world then was a much more innocent place,joy,feel world much innocent place,0.34
120,120,i feel thoroughly virtuous even if the daily trip to the compost bin isn t the most pleasant experience,joy,feel thoroughly virtuous even daily trip compost bin pleasant experience,0.7902
121,121,im not feeling anything suspicious really,fear,im feeling anything suspicious really,-0.25
122,122,i was feeling a little sentimental today,sadness,feeling little sentimental today,0.3626
123,123,i feel like i know who most of them are by now and am starting to develop my likes and dislikes though i have not been keen on the snap evictions they have seemed pretty pointless the first one to go returned and the two webmates made absolutely zero impact on me so they won t be missed,joy,feel like know starting develop like dislike though keen snap eviction seemed pretty pointless first one go returned two webmates made absolutely zero impact missed,0.3892
124,124,i feel less whiney since the sun came out here in the sf area,sadness,feel le whiney since sun came sf area,-0.3182
125,125,made a wonderfull new friend,joy,made wonderfull new friend,0.4939
126,126,i feel almost embarrassed to mention the single redshank and common sandpiper but there again who would not want to mention the lone wood sandpiper present at the waters edge,sadness,feel almost embarrassed mention single redshank common sandpiper would want mention lone wood sandpiper present water edge,-0.4601
127,127,i know its easy to feel a little envious of me and i cant tell you that you shouldnt,anger,know easy feel little envious cant tell shouldnt,0.2716
128,128,i would feel awful if she was here this whole time,sadness,would feel awful whole time,-0.4588
129,129,i feel very mislead by someone that i really really thought i knew and liked very much so,love,feel mislead someone really really thought knew liked much,0.4703
130,130,i feel like we are doomed us humans,sadness,feel like doomed u human,-0.4019
131,131,i am going to have to check on in just a few minutes but there is this clock up above the screen that keeps ticking down the minutes i have left so am feeling a bit frantic,fear,going check minute clock screen keep ticking minute left feeling bit frantic,-0.34
132,132,i got the sleep but if i could choose not to be woken up by an alarm i d definitely take that over anything it makes me feel so groggy,sadness,got sleep could choose woken alarm definitely take anything make feel groggy,0.0772
133,133,ive been boring for few weeks and feeling a bit gloomy cause of the rainy days,sadness,ive boring week feeling bit gloomy cause rainy day,-0.4019
134,134,i feel that this information is vital to moving on with your day and you re not complete until you read it,joy,feel information vital moving day complete read,0.296
135,135,im feeling generous today heres one more you may have already seen but is good for a chuckle,love,im feeling generous today here one may already seen good chuckle,0.8555
136,136,i will feel awkward about just calling up one of these people out of the blue to hang out or rather to be familiar with them on a deeper level they are not my kith and kin,sadness,feel awkward calling one people blue hang rather familiar deeper level kith kin,-0.1531
137,137,i don t like the feeling i get when someone is even a little bit offended by some offhand remark i ve made,anger,like feeling get someone even little bit offended offhand remark made,0.3134
138,138,i get it crumble but thanks for feeling the need to tell me that im the one who is fucked up,anger,get crumble thanks feeling need tell im one fucked,-0.25
139,139,i am controlling the growth of this business and every time i post work for a client i feel even more determined to make it a full time business one day,joy,controlling growth business every time post work client feel even determined make full time business one day,0.6124
140,140,i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,fear,pregnant dean spent rest pregnancy feeling terrified another baby,-0.5423
141,141,i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger,actually feel agitated led terrible day yesterday unable concentrate anything basically piddled day away,-0.7269
142,142,i have an ed i will tell you that i know i shouldn t feel shamed of eating a protein bar for breakfast and the fact that i ate one isn t what makes me shameful it s the fact i didn t make it is what made me hang my head and tuck tail,sadness,ed tell know feel shamed eating protein bar breakfast fact ate one make shameful fact make made hang head tuck tail,-0.7783
143,143,i feel radiant bright accomplished and happy,joy,feel radiant bright accomplished happy,0.9118
144,144,i feel refrigerator magnets that were so popular a few years ago,joy,feel refrigerator magnet popular year ago,0.4215
145,145,i am feeling very touch deprived with all that has been happening,sadness,feeling touch deprived happening,-0.3818
146,146,i am feeling apprehensive about it but also wildly excited,fear,feeling apprehensive also wildly excited,0.4404
147,147,i was feeling pretty relaxed by the time i boarded the very new looking airbus and headed into the hazy sky en route to honolulu,joy,feeling pretty relaxed time boarded new looking airbus headed hazy sky en route honolulu,0.7845
148,148,i am a quiet person but what i have to say i feel is important,joy,quiet person say feel important,0.2023
149,149,i think i started to feel a little homesick,sadness,think started feel little homesick,-0.1045
150,150,i am feeling eager to start doing some work the man who works there literally says so uhm you guys want to go in back and see if we can find anything to do,joy,feeling eager start work man work literally say uhm guy want go back see find anything,0.5106
151,151,i feel uncomfortable since i have a smaller rib cage and a bigger chest either i am spilling over the top of the tank or the elastic band support is too tight or too loose,fear,feel uncomfortable since smaller rib cage bigger chest either spilling top tank elastic band support tight loose,-0.1027
152,152,im feeling reluctant to exit my freshly cleaned apartment which i stayed up cleaning late last night,fear,im feeling reluctant exit freshly cleaned apartment stayed cleaning late last night,-0.128
153,153,i feel that i need to know that i can depend on myself before i put myself in the position of supporting someone else and being supported by someone else,love,feel need know depend put position supporting someone else supported someone else,0.6369
154,154,im feeling rather angsty and listless,sadness,im feeling rather angsty listless,0.128
155,155,i try my best to love on them shed some light but i feel deeply compassionate with their problems and hurt even if its someone in the media,love,try best love shed light feel deeply compassionate problem hurt even someone medium,0.7392
156,156,i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,surprise,uncomfortable feeling weird feeling sure contraction since never really felt contraction jared jacked pitocin,0
157,157,i feel gloomy and tired,sadness,feel gloomy tired,-0.5423
158,158,i really like this person feel that the question was really asked out of a sincere place of love and concern about how to move forward in light of what the sexuality study recently a href http www,joy,really like person feel question really asked sincere place love concern move forward light sexuality study recently href http www,0.8742
159,159,i would force myself to eat my normal routine clean meals a day but then i just started feeling so awful,sadness,would force eat normal routine clean meal day started feeling awful,0.0516
160,160,i feel rather privileged to have witnessed the great man in action it really was impossible for a novice like me to work out just which one of the four identical looking riders was he,joy,feel rather privileged witnessed great man action really impossible novice like work one four identical looking rider,0.8678
161,161,i feel like im at the spa getting a wonderful facial when i use them,joy,feel like im spa getting wonderful facial use,0.7351
162,162,i feel petty all of a sudden,anger,feel petty sudden,-0.2023
163,163,i hope you like this more honest amp raw blog post amp if you are feeling unhappy i hope this makes you feel less alone,sadness,hope like honest amp raw blog post amp feeling unhappy hope make feel le alone,0.8074
164,164,i feel slightly disgusted as well,anger,feel slightly disgusted well,-0.315
165,165,i was quite surprised with the weather these past few days but im so thankful for that since i still can wear my shorts out without feeling that cold yes no kidding,anger,quite surprised weather past day im thankful since still wear short without feeling cold yes kidding,0.5669
166,166,i feel slightly relaxed being a,joy,feel slightly relaxed,0.4417
167,167,i feel shy to admit that i was struggling to haul a single computer up,fear,feel shy admit struggling haul single computer,-0.4588
168,168,i just went about my script of would you like mustard or sauce with that and started to feel really startled,fear,went script would like mustard sauce started feel really startled,0.1298
169,169,i enjoy my colleagues i m not feeling very sociable today,joy,enjoy colleague feeling sociable today,0.765
170,170,im feeling and if ive liked being pregnant,love,im feeling ive liked pregnant,0.5106
171,171,i then feel your tender touch as you enfold me with his love,love,feel tender touch enfold love,0.6369
172,172,i lost a few people which i hate because i have a really hard time letting go of people to whom i feel loyal,love,lost people hate really hard time letting go people feel loyal,-0.5563
173,173,i have had no interest at all to make any effort to meet men and when the chance arrises i then feel burdened with negative thoughts of he ll just be another idiot only after one thing,sadness,interest make effort meet men chance arrises feel burdened negative thought another idiot one thing,-0.6908
174,174,i feel i m being nutritionally supportive of it as well,love,feel nutritionally supportive well,0.5106
175,175,i feel impatient i just post a blog entry and i feel ive gotten some words written and out into the world,anger,feel impatient post blog entry feel ive gotten word written world,-0.296
176,176,i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,joy,trying hardest get place join finally feel like something worthwhile say,0.7269
177,177,i have to admit i feel amused when i see the pti jamiat and a whole lot of others in the media try to avoid the suggestion that they are actually protesting the use of sharia in the case of raymond davis s release,joy,admit feel amused see pti jamiat whole lot others medium try avoid suggestion actually protesting use sharia case raymond davis release,-0.1027
178,178,i feel embarrassed that it got so bad,sadness,feel embarrassed got bad,-0.7184
179,179,im feeling really bitter about this one,anger,im feeling really bitter one,-0.3804
180,180,i feel brave today heading to amman and beirut by way of istanbul or i feel brave today a href http jessicadickinsongoodman,joy,feel brave today heading amman beirut way istanbul feel brave today href http jessicadickinsongoodman,0.7783
181,181,i had a fab christmas and an amazing new year with my family and friends and against all odds i feel very optimistic about,joy,fab christmas amazing new year family friend odds feel optimistic,0.9062
182,182,i feel like a loser everyone says they lost but i dont i know exactly where i am i just hate being here oh,sadness,feel like loser everyone say lost dont know exactly hate oh,-0.0521
183,183,i feel defeated but others i feel refreshed,sadness,feel defeated others feel refreshed,-0.4767
184,184,i was feeling particularly vulnerable in a specific area so i began to talking to my friends and interestingly enough there was an incredible understanding of my struggle,fear,feeling particularly vulnerable specific area began talking friend interestingly enough incredible understanding struggle,0.4417
185,185,i go onto the officer down memorial page and reflect on my feelings about that wonderful officer which seems to make me feel a little better,joy,go onto officer memorial page reflect feeling wonderful officer seems make feel little better,0.7787
186,186,im with a group of people i still feel isolated and on the outside looking in,sadness,im group people still feel isolated outside looking,-0.3182
187,187,i feel blessed to know this family,love,feel blessed know family,0.5994
188,188,i feel terrified because my landlord has not changed our locks yet,fear,feel terrified landlord changed lock yet,-0.6124
189,189,i am loosing out but i feel like i have have so much to share with many and if anything that is not unfortunate if anything it makes me grateful,sadness,loosing feel like much share many anything unfortunate anything make grateful,0.5719
190,190,i don t like eating meals that feel too virtuous,joy,like eating meal feel virtuous,0.7096
191,191,i left feeling pretty thrilled for the opportunity to at least throw my name in the hat,joy,left feeling pretty thrilled opportunity least throw name hat,0.8555
192,192,i feel kinda weird when andrea tries to talk to me about chris,fear,feel kinda weird andrea try talk chris,-0.1045
193,193,i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,anger,loved ellie didnt feel insulted rude douche baggy thing lothaire said according ellie insult hurt come somebody respect damn straight,0.2919
194,194,i feel was pretty triumphant,joy,feel pretty triumphant,0.765
195,195,im enjoying my solitary confinement at home i rarely feel lonely,sadness,im enjoying solitary confinement home rarely feel lonely,0.6715
196,196,i am being over dramatic but i do feel very strongly for her and i am resolved to speak with her next chance i get,joy,dramatic feel strongly resolved speak next chance get,0.5859
197,197,i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger,really dont like quinn feel like end hurting barney hated lame ted robin storyline,-0.9257
198,198,i feel so lousy but i shouldnt be focusing on me now,sadness,feel lousy shouldnt focusing,-0.5423
199,199,i cant remember ever feeling so exhausted it took trips with the car on the last day to get everything brought to the trailer,sadness,cant remember ever feeling exhausted took trip car last day get everything brought trailer,-0.4348
200,200,i wrote two years ago so many things i feel unsure of maybe,fear,wrote two year ago many thing feel unsure maybe,-0.25
201,201,i feel suspicious of informality and a lack of credentials,fear,feel suspicious informality lack credential,-0.5859
202,202,i receive every month make me proud and feel appreciative,joy,receive every month make proud feel appreciative,0.7717
203,203,i feel that third situation pretty much sums up my feelings toward this title,joy,feel third situation pretty much sum feeling toward title,0.5719
204,204,i wanted to feel him in my hands and reached out to take him into my waiting eager mouth,joy,wanted feel hand reached take waiting eager mouth,0.7269
205,205,i feel more gentle that way wth,love,feel gentle way wth,-0.128
206,206,i got home feeling hot tired and great,love,got home feeling hot tired great,0.4019
207,207,i feel more creative,joy,feel creative,0.4404
208,208,i feel so talented i can use a computer,joy,feel talented use computer,0.5106
209,209,i feel unfathomably rich in having had a healthy pregnancy so far,joy,feel unfathomably rich healthy pregnancy far,0.743
210,210,i wish to know whether i should feel sympathetic towards the airline american if say their plane is on fire or their pilot has exploded or whether i should want to set them on fire if say they just decided to walk on their obligations to save money,love,wish know whether feel sympathetic towards airline american say plane fire pilot exploded whether want set fire say decided walk obligation save money,0.6908
211,211,i don t want them to feel so pressured,fear,want feel pressured,-0.1531
212,212,i still feel frightened of the world yet no where near as much as i used to,fear,still feel frightened world yet near much used,-0.4404
213,213,im not feeling mellow,joy,im feeling mellow,0.128
214,214,i wake too early so i feel grumpy,anger,wake early feel grumpy,0
215,215,i believe you all will come to my work place and just try to make me feel humiliated but you know what deep down in my heart i know who is the one who should be ashamed of themselves,sadness,believe come work place try make feel humiliated know deep heart know one ashamed,-0.6705
216,216,i did finally get it if you didn t laugh left me feeling delighted exhausted and just so privileged,joy,finally get laugh left feeling delighted exhausted privileged,0.8316
217,217,i was remembering this i was feeling skeptical,fear,remembering feeling skeptical,-0.2023
218,218,i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,joy,pretty brazen goal day feel stronger confident going reach desired end result,0.8807
219,219,i feel dirty talking to people for my personal gain,sadness,feel dirty talking people personal gain,0.128
220,220,i sat there cold i flashed back to going to the hockey city classic and the degree weather and it feeling just as cold even though there was about a degree difference this night,anger,sat cold flashed back going hockey city classic degree weather feeling cold even though degree difference night,0.128
221,221,i feel numb as i carry on and i wonder if i will get over it,sadness,feel numb carry wonder get,-0.34
222,222,i was somewhat coerced into this blog review so i feel a bit rushed and flustered,anger,somewhat coerced blog review feel bit rushed flustered,-0.4951
223,223,i guess i wont feel too jealous since i often do my mothering at the pool but its nice to have a husband again,anger,guess wont feel jealous since often mothering pool nice husband,0.6463
224,224,im not sure how i feel about needing to exercise so as to maintain a pleasant demeanor,joy,im sure feel needing exercise maintain pleasant demeanor,0.6808
225,225,i feel alarmed,fear,feel alarmed,-0.34
226,226,i think i wanted audiences to feel impressed inspired or entertained when i was on stage,surprise,think wanted audience feel impressed inspired entertained stage,0.8402
